card_id,user_id,bank_id,card_type,card_network,issued_date,is_active
1,1,4,CREDIT,VISA,2024-09-19T00:00:00,True
2,3,1,DEBIT,VISA,2025-03-13T00:00:00,True
3,4,10,DEBIT,VISA,2026-08-02T00:00:00,True
4,5,10,CREDIT,AMEX,2026-05-12T00:00:00,True
5,7,3,CREDIT,VISA,2026-06-14T00:00:00,True
6,7,10,CREDIT,RUPAY,2025-09-05T00:00:00,True
7,7,5,DEBIT,RUPAY,2026-02-25T00:00:00,True
8,8,4,DEBIT,RUPAY,2025-09-18T00:00:00,True
9,9,6,CREDIT,MASTERCARD,2025-12-30T00:00:00,True
10,9,3,DEBIT,VISA,2026-03-16T00:00:00,True
11,10,1,CREDIT,RUPAY,2025-09-17T00:00:00,True
12,10,4,CREDIT,VISA,2025-04-18T00:00:00,True
13,11,9,CREDIT,RUPAY,2024-08-22T00:00:00,True
14,12,1,DEBIT,RUPAY,2024-09-23T00:00:00,True
15,13,10,CREDIT,AMEX,2024-11-26T00:00:00,True
16,16,10,DEBIT,RUPAY,2025-06-20T00:00:00,True
17,17,5,DEBIT,VISA,2024-09-24T00:00:00,True
18,18,7,CREDIT,RUPAY,2024-09-03T00:00:00,True
19,19,5,CREDIT,RUPAY,2025-09-07T00:00:00,True
20,20,8,CREDIT,VISA,2024-11-22T00:00:00,True
21,20,5,CREDIT,RUPAY,2024-12-09T00:00:00,True
22,20,2,DEBIT,RUPAY,2025-02-08T00:00:00,True
23,21,7,CREDIT,RUPAY,2025-06-14T00:00:00,True
24,22,5,DEBIT,RUPAY,2025-05-08T00:00:00,True
25,22,2,DEBIT,RUPAY,2025-01-09T00:00:00,True
26,23,8,DEBIT,RUPAY,2025-12-12T00:00:00,True
27,24,5,CREDIT,VISA,2024-12-18T00:00:00,True
28,25,7,DEBIT,AMEX,2026-04-18T00:00:00,True
29,26,4,CREDIT,RUPAY,2026-02-12T00:00:00,True
30,26,9,DEBIT,VISA,2024-11-03T00:00:00,True
31,27,4,DEBIT,VISA,2024-08-12T00:00:00,True
32,29,3,DEBIT,VISA,2025-08-02T00:00:00,True
33,31,8,CREDIT,RUPAY,2025-10-15T00:00:00,True
34,33,3,CREDIT,VISA,2025-10-18T00:00:00,True
35,34,2,DEBIT,RUPAY,2025-01-18T00:00:00,False
36,34,6,CREDIT,VISA,2024-08-22T00:00:00,True
37,36,3,DEBIT,RUPAY,2025-06-12T00:00:00,True
38,37,1,CREDIT,VISA,2026-05-29T00:00:00,False
39,38,1,CREDIT,MASTERCARD,2025-11-18T00:00:00,True
40,41,7,DEBIT,VISA,2024-11-12T00:00:00,True
41,41,3,DEBIT,MASTERCARD,2024-10-06T00:00:00,True
42,42,9,DEBIT,VISA,2026-07-20T00:00:00,True
43,42,6,DEBIT,MASTERCARD,2025-09-03T00:00:00,True
44,44,2,CREDIT,MASTERCARD,2025-07-19T00:00:00,False
45,45,2,CREDIT,VISA,2025-06-22T00:00:00,True
46,46,4,CREDIT,AMEX,2026-03-11T00:00:00,False
47,46,8,CREDIT,VISA,2025-06-22T00:00:00,False
48,46,6,DEBIT,AMEX,2026-01-04T00:00:00,True
49,47,3,DEBIT,VISA,2025-10-01T00:00:00,True
50,47,9,CREDIT,RUPAY,2025-01-10T00:00:00,False
51,48,1,CREDIT,VISA,2025-11-27T00:00:00,True
52,49,4,DEBIT,RUPAY,2026-06-10T00:00:00,True
53,49,3,DEBIT,RUPAY,2026-04-25T00:00:00,True
54,49,6,DEBIT,VISA,2025-06-03T00:00:00,True
55,51,7,CREDIT,AMEX,2026-04-23T00:00:00,True
56,51,3,DEBIT,AMEX,2024-11-17T00:00:00,True
57,52,9,DEBIT,RUPAY,2024-11-07T00:00:00,True
58,52,8,CREDIT,RUPAY,2025-01-22T00:00:00,True
59,53,2,CREDIT,RUPAY,2025-05-01T00:00:00,True
60,55,3,DEBIT,AMEX,2025-12-22T00:00:00,False
61,57,3,DEBIT,RUPAY,2026-05-11T00:00:00,True
62,57,6,CREDIT,MASTERCARD,2025-11-13T00:00:00,True
63,59,1,DEBIT,VISA,2026-03-07T00:00:00,False
64,59,2,CREDIT,VISA,2025-09-22T00:00:00,True
65,60,2,CREDIT,MASTERCARD,2026-02-08T00:00:00,True
66,60,8,CREDIT,VISA,2024-11-28T00:00:00,True
67,62,6,CREDIT,VISA,2026-04-20T00:00:00,True
68,63,5,DEBIT,RUPAY,2025-12-04T00:00:00,True
69,64,10,DEBIT,VISA,2025-08-15T00:00:00,True
70,66,1,DEBIT,RUPAY,2025-05-13T00:00:00,True
71,67,5,DEBIT,VISA,2026-08-09T00:00:00,True
72,68,5,CREDIT,VISA,2025-10-22T00:00:00,True
73,69,6,DEBIT,MASTERCARD,2026-02-09T00:00:00,True
74,70,6,DEBIT,RUPAY,2024-08-20T00:00:00,True
75,70,10,CREDIT,RUPAY,2026-03-25T00:00:00,True
76,71,6,CREDIT,RUPAY,2025-01-08T00:00:00,True
77,71,6,CREDIT,AMEX,2025-09-30T00:00:00,True
78,71,1,DEBIT,RUPAY,2024-12-16T00:00:00,True
79,72,1,CREDIT,AMEX,2025-10-14T00:00:00,True
80,73,4,CREDIT,AMEX,2026-07-06T00:00:00,True
81,73,1,CREDIT,MASTERCARD,2025-06-15T00:00:00,True
82,74,8,DEBIT,MASTERCARD,2025-10-04T00:00:00,True
83,74,9,DEBIT,AMEX,2025-07-19T00:00:00,True
84,75,3,DEBIT,VISA,2025-10-30T00:00:00,True
85,77,5,DEBIT,RUPAY,2024-11-19T00:00:00,True
86,79,10,DEBIT,VISA,2026-05-10T00:00:00,True
87,79,2,DEBIT,RUPAY,2024-09-12T00:00:00,True
88,81,9,CREDIT,VISA,2025-12-03T00:00:00,True
89,81,6,DEBIT,RUPAY,2025-10-06T00:00:00,True
90,82,7,CREDIT,MASTERCARD,2025-03-27T00:00:00,True
91,82,5,DEBIT,VISA,2025-10-08T00:00:00,True
92,83,1,CREDIT,VISA,2025-08-28T00:00:00,True
93,83,9,DEBIT,RUPAY,2025-07-19T00:00:00,True
94,83,10,DEBIT,VISA,2025-09-14T00:00:00,True
95,84,10,DEBIT,RUPAY,2025-09-13T00:00:00,True
96,84,3,DEBIT,VISA,2025-01-19T00:00:00,True
97,85,9,CREDIT,RUPAY,2025-09-15T00:00:00,True
98,85,5,DEBIT,VISA,2025-07-06T00:00:00,True
99,86,10,CREDIT,RUPAY,2026-02-17T00:00:00,True
100,87,3,DEBIT,RUPAY,2025-08-11T00:00:00,True
101,88,4,DEBIT,VISA,2025-09-01T00:00:00,True
102,89,3,DEBIT,RUPAY,2026-03-26T00:00:00,True
103,90,2,CREDIT,VISA,2025-02-10T00:00:00,True
104,90,8,DEBIT,RUPAY,2025-03-10T00:00:00,True
105,90,8,DEBIT,MASTERCARD,2025-12-21T00:00:00,True
106,91,7,DEBIT,RUPAY,2025-11-14T00:00:00,True
107,91,3,CREDIT,RUPAY,2026-06-16T00:00:00,True
108,92,6,DEBIT,MASTERCARD,2026-04-30T00:00:00,True
109,93,5,DEBIT,VISA,2024-09-09T00:00:00,True
110,94,4,DEBIT,VISA,2025-03-20T00:00:00,False
111,94,3,CREDIT,RUPAY,2024-12-17T00:00:00,True
112,95,6,DEBIT,RUPAY,2025-12-01T00:00:00,True
113,95,8,DEBIT,RUPAY,2025-02-23T00:00:00,True
114,95,4,DEBIT,RUPAY,2025-05-24T00:00:00,True
115,96,10,CREDIT,RUPAY,2025-12-22T00:00:00,True
116,96,8,DEBIT,RUPAY,2025-07-02T00:00:00,True
117,97,10,CREDIT,RUPAY,2024-10-14T00:00:00,True
118,100,10,DEBIT,RUPAY,2026-02-04T00:00:00,True
119,101,6,DEBIT,VISA,2025-04-18T00:00:00,True
120,102,6,CREDIT,VISA,2024-08-21T00:00:00,True
121,103,6,DEBIT,RUPAY,2025-09-08T00:00:00,True
122,104,9,CREDIT,RUPAY,2026-06-28T00:00:00,True
123,106,6,DEBIT,VISA,2024-09-29T00:00:00,True
124,106,8,CREDIT,VISA,2024-12-10T00:00:00,True
125,107,7,CREDIT,VISA,2024-08-28T00:00:00,True
126,111,7,CREDIT,RUPAY,2026-02-01T00:00:00,False
127,111,1,CREDIT,VISA,2025-10-09T00:00:00,True
128,112,7,CREDIT,RUPAY,2025-12-28T00:00:00,True
129,112,7,CREDIT,AMEX,2025-12-28T00:00:00,True
130,114,10,CREDIT,VISA,2024-08-20T00:00:00,True
131,117,2,CREDIT,RUPAY,2025-08-22T00:00:00,True
132,118,1,CREDIT,RUPAY,2024-12-01T00:00:00,False
133,119,10,DEBIT,MASTERCARD,2026-07-26T00:00:00,True
134,120,3,CREDIT,VISA,2026-03-31T00:00:00,True
135,122,2,DEBIT,VISA,2025-12-12T00:00:00,True
136,124,4,CREDIT,RUPAY,2026-08-08T00:00:00,True
137,124,9,DEBIT,VISA,2026-06-03T00:00:00,True
138,125,8,CREDIT,VISA,2025-03-19T00:00:00,True
139,126,6,CREDIT,RUPAY,2026-02-01T00:00:00,True
140,127,8,DEBIT,RUPAY,2024-11-26T00:00:00,True
141,127,4,DEBIT,MASTERCARD,2025-11-16T00:00:00,True
142,127,9,CREDIT,MASTERCARD,2024-10-19T00:00:00,True
143,128,10,DEBIT,VISA,2024-11-27T00:00:00,True
144,129,3,CREDIT,MASTERCARD,2026-02-04T00:00:00,True
145,129,5,CREDIT,RUPAY,2025-08-07T00:00:00,True
146,130,9,CREDIT,MASTERCARD,2025-08-23T00:00:00,True
147,131,7,CREDIT,VISA,2025-02-06T00:00:00,True
148,131,9,DEBIT,RUPAY,2024-11-29T00:00:00,True
149,132,4,CREDIT,RUPAY,2026-03-22T00:00:00,True
150,132,2,DEBIT,VISA,2026-05-07T00:00:00,True
151,132,7,CREDIT,VISA,2026-07-19T00:00:00,True
152,133,6,DEBIT,RUPAY,2025-05-31T00:00:00,True
153,133,2,CREDIT,RUPAY,2026-05-09T00:00:00,True
154,134,4,CREDIT,RUPAY,2025-01-27T00:00:00,True
155,134,8,CREDIT,VISA,2025-12-08T00:00:00,True
156,134,1,CREDIT,VISA,2024-10-27T00:00:00,True
157,135,6,DEBIT,RUPAY,2025-12-23T00:00:00,True
158,136,1,DEBIT,AMEX,2025-03-31T00:00:00,True
159,137,2,CREDIT,RUPAY,2025-07-19T00:00:00,True
160,138,5,DEBIT,VISA,2025-11-22T00:00:00,False
161,138,6,CREDIT,VISA,2026-01-22T00:00:00,True
162,138,10,DEBIT,VISA,2026-01-23T00:00:00,True
163,139,4,DEBIT,VISA,2026-01-01T00:00:00,False
164,139,10,DEBIT,AMEX,2025-08-13T00:00:00,True
165,139,2,CREDIT,AMEX,2026-05-26T00:00:00,True
166,140,9,DEBIT,MASTERCARD,2026-01-31T00:00:00,True
167,140,6,DEBIT,MASTERCARD,2025-10-11T00:00:00,True
168,141,10,DEBIT,VISA,2026-04-29T00:00:00,True
