dispute_id,transaction_id,reason,status,opened_date,resolved_date
1,32183,Incorrect Amount,RESOLVED,2025-03-13,2025-03-21
2,17741,Incorrect Amount,RESOLVED,2026-08-10,
3,47922,Incorrect Amount,RESOLVED,2025-11-01,2025-11-05
4,32121,Item Not As Described,RESOLVED,2025-12-07,2025-12-10
5,42837,Item Not As Described,RESOLVED,2026-06-10,2026-06-21
6,47862,Fraud - Unauthorized,RESOLVED,2026-03-15,2026-03-26
7,23856,Merchant Error,RESOLVED,2025-12-28,2026-01-06
8,46478,Fraud - Unauthorized,REJECTED,2026-02-18,2026-03-05
9,19430,Merchant Error,REJECTED,2025-07-09,2025-07-19
10,28588,Incorrect Amount,RESOLVED,2024-09-08,2024-09-13
11,130,Merchant Error,RESOLVED,2025-09-08,2025-09-14
12,32666,Merchant Error,RESOLVED,2025-11-03,2025-11-17
13,5380,Item Not As Described,RESOLVED,2025-09-06,2025-09-10
14,17629,Incorrect Amount,RESOLVED,2024-08-20,2024-08-31
15,15027,Item Not Received,OPEN,2025-06-20,
16,8695,Item Not As Described,RESOLVED,2026-04-12,2026-04-23
17,37100,Duplicate Charge,RESOLVED,2025-03-04,2025-03-17
18,14680,Item Not Received,RESOLVED,2026-04-15,2026-04-20
19,45843,Item Not Received,RESOLVED,2025-12-29,2026-01-03
20,33710,Fraud - Unauthorized,OPEN,2026-06-08,
21,15790,Merchant Error,OPEN,2025-11-14,
22,16639,Duplicate Charge,RESOLVED,2025-12-10,2025-12-17
23,11675,Item Not As Described,RESOLVED,2024-08-26,2024-08-31
24,41328,Item Not Received,RESOLVED,2026-03-05,2026-03-20
25,33324,Duplicate Charge,RESOLVED,2024-11-09,2024-11-24
26,37545,Incorrect Amount,RESOLVED,2024-10-21,2024-10-30
27,35608,Item Not Received,RESOLVED,2026-05-03,2026-05-13
28,18626,Item Not Received,REJECTED,2025-11-24,2025-12-08
29,45539,Merchant Error,RESOLVED,2026-07-01,2026-07-07
30,19935,Duplicate Charge,RESOLVED,2025-06-14,2025-06-17
31,34826,Item Not As Described,RESOLVED,2026-05-05,2026-05-08
32,10369,Merchant Error,OPEN,2026-08-09,
33,33264,Fraud - Unauthorized,RESOLVED,2024-12-16,2024-12-29
34,24367,Incorrect Amount,REJECTED,2025-12-29,2026-01-08
35,1434,Merchant Error,REJECTED,2026-03-25,2026-03-31
36,33767,Incorrect Amount,RESOLVED,2024-12-04,2024-12-17
37,41849,Incorrect Amount,RESOLVED,2024-12-14,2024-12-18
38,17832,Incorrect Amount,REJECTED,2025-11-15,2025-11-19
39,28265,Merchant Error,RESOLVED,2024-12-21,2025-01-03
40,32233,Incorrect Amount,RESOLVED,2025-04-14,2025-04-22
41,36963,Item Not As Described,RESOLVED,2025-07-27,2025-08-09
42,22994,Fraud - Unauthorized,RESOLVED,2025-10-15,2025-10-28
43,36207,Incorrect Amount,RESOLVED,2026-08-10,
44,39052,Duplicate Charge,OPEN,2026-08-10,
45,37223,Merchant Error,RESOLVED,2025-12-30,2026-01-02
46,32767,Item Not Received,RESOLVED,2026-08-10,
47,16298,Fraud - Unauthorized,RESOLVED,2025-01-26,2025-01-30
48,27235,Item Not Received,RESOLVED,2025-12-11,2025-12-15
49,48246,Incorrect Amount,RESOLVED,2025-11-13,2025-11-22
50,27668,Merchant Error,RESOLVED,2025-11-13,2025-11-15
51,24802,Duplicate Charge,RESOLVED,2026-06-04,2026-06-18
52,48490,Incorrect Amount,RESOLVED,2026-08-10,
53,27332,Duplicate Charge,RESOLVED,2025-12-02,2025-12-14
54,4289,Incorrect Amount,RESOLVED,2025-12-26,2026-01-01
55,46163,Item Not Received,OPEN,2024-12-20,
56,15943,Item Not As Described,RESOLVED,2026-06-27,2026-07-02
57,31901,Item Not Received,RESOLVED,2026-01-10,2026-01-15
58,46359,Duplicate Charge,REJECTED,2025-04-11,2025-04-12
59,21446,Duplicate Charge,RESOLVED,2026-08-06,
60,41128,Incorrect Amount,REJECTED,2026-08-10,
61,23146,Item Not Received,RESOLVED,2025-05-30,2025-06-05
62,24936,Duplicate Charge,RESOLVED,2024-08-29,2024-08-30
63,35219,Incorrect Amount,RESOLVED,2025-01-03,2025-01-08
64,38330,Duplicate Charge,RESOLVED,2025-04-20,2025-04-23
65,7398,Incorrect Amount,REJECTED,2026-05-09,2026-05-19
66,10425,Item Not As Described,REJECTED,2026-05-04,2026-05-13
67,30781,Merchant Error,REJECTED,2025-01-17,2025-01-29
68,201,Fraud - Unauthorized,RESOLVED,2026-08-10,
69,19836,Incorrect Amount,REJECTED,2025-11-22,2025-12-01
70,49487,Incorrect Amount,REJECTED,2025-10-25,2025-11-05
71,35777,Incorrect Amount,RESOLVED,2024-11-15,2024-11-20
72,29981,Merchant Error,RESOLVED,2025-01-03,2025-01-07
73,45547,Duplicate Charge,RESOLVED,2024-09-03,2024-09-12
74,25119,Fraud - Unauthorized,REJECTED,2025-07-09,2025-07-18
75,8256,Item Not Received,RESOLVED,2026-08-10,
76,3066,Item Not Received,REJECTED,2025-11-11,2025-11-21
77,41480,Item Not Received,RESOLVED,2025-06-29,2025-07-13
78,1948,Item Not Received,REJECTED,2026-08-01,
79,41118,Fraud - Unauthorized,OPEN,2025-05-17,
80,46831,Item Not As Described,RESOLVED,2024-12-27,2025-01-08
81,38218,Incorrect Amount,RESOLVED,2025-01-05,2025-01-11
82,44050,Duplicate Charge,RESOLVED,2025-10-20,2025-10-22
83,17865,Item Not As Described,OPEN,2024-11-23,
84,13976,Merchant Error,RESOLVED,2025-09-15,2025-09-29
85,45188,Fraud - Unauthorized,RESOLVED,2026-03-11,2026-03-22
86,45306,Merchant Error,REJECTED,2026-04-06,2026-04-21
87,22236,Incorrect Amount,RESOLVED,2025-11-22,2025-11-29
88,7419,Fraud - Unauthorized,RESOLVED,2025-12-11,2025-12-21
89,9088,Fraud - Unauthorized,RESOLVED,2025-09-03,2025-09-14
90,30405,Merchant Error,RESOLVED,2024-09-22,2024-10-06
91,19252,Merchant Error,RESOLVED,2026-06-25,2026-07-07
92,41663,Item Not Received,RESOLVED,2026-01-18,2026-01-31
93,4768,Fraud - Unauthorized,REJECTED,2025-10-31,2025-11-10
94,11599,Duplicate Charge,RESOLVED,2024-10-16,2024-10-29
95,1014,Merchant Error,RESOLVED,2026-05-26,2026-06-03
96,888,Item Not Received,RESOLVED,2025-07-22,2025-08-06
97,32115,Fraud - Unauthorized,RESOLVED,2024-10-21,2024-10-26
98,48474,Item Not As Described,RESOLVED,2025-12-06,2025-12-08
99,32498,Item Not As Described,OPEN,2024-12-15,
100,10254,Merchant Error,RESOLVED,2026-06-06,2026-06-13
101,35472,Item Not Received,RESOLVED,2026-01-24,2026-02-08
102,36291,Incorrect Amount,RESOLVED,2026-01-19,2026-01-31
103,48906,Incorrect Amount,RESOLVED,2026-08-10,
104,36640,Merchant Error,RESOLVED,2024-12-26,2025-01-07
105,6001,Merchant Error,REJECTED,2026-04-11,2026-04-16
106,24729,Item Not As Described,OPEN,2026-06-27,
107,27448,Item Not As Described,RESOLVED,2026-02-24,2026-02-28
108,15026,Duplicate Charge,RESOLVED,2025-03-29,2025-03-30
109,48467,Duplicate Charge,RESOLVED,2024-11-08,2024-11-21
110,31191,Item Not As Described,REJECTED,2026-02-26,2026-02-28
111,22036,Incorrect Amount,RESOLVED,2026-06-01,2026-06-15
112,19180,Item Not As Described,REJECTED,2026-04-09,2026-04-20
113,44892,Item Not As Described,RESOLVED,2026-08-10,
114,402,Merchant Error,REJECTED,2025-11-16,2025-11-28
115,21265,Item Not Received,REJECTED,2026-01-28,2026-02-10
116,45711,Item Not As Described,RESOLVED,2025-05-12,2025-05-17
117,7159,Merchant Error,RESOLVED,2026-08-10,
118,25929,Item Not Received,RESOLVED,2026-06-05,2026-06-13
119,15466,Item Not Received,REJECTED,2026-01-08,2026-01-12
120,15436,Duplicate Charge,RESOLVED,2024-11-12,2024-11-14
121,10359,Fraud - Unauthorized,RESOLVED,2025-10-22,2025-11-02
122,46332,Duplicate Charge,RESOLVED,2024-12-11,2024-12-15
123,40684,Duplicate Charge,RESOLVED,2025-10-06,2025-10-18
124,39307,Item Not As Described,REJECTED,2024-09-19,2024-10-01
125,48063,Item Not As Described,OPEN,2026-08-10,
126,29060,Duplicate Charge,OPEN,2025-09-27,
127,22582,Item Not As Described,RESOLVED,2024-11-12,2024-11-16
128,41820,Fraud - Unauthorized,REJECTED,2026-01-11,2026-01-26
129,18141,Item Not As Described,RESOLVED,2025-10-14,2025-10-15
130,22635,Incorrect Amount,OPEN,2025-03-27,
131,24805,Incorrect Amount,REJECTED,2024-12-07,2024-12-22
132,24099,Duplicate Charge,OPEN,2025-06-04,
133,47269,Merchant Error,RESOLVED,2026-06-06,2026-06-10
134,44439,Duplicate Charge,RESOLVED,2024-11-10,2024-11-14
135,23368,Incorrect Amount,RESOLVED,2025-04-02,2025-04-04
136,28608,Duplicate Charge,RESOLVED,2025-10-03,2025-10-06
137,18167,Merchant Error,RESOLVED,2025-11-11,2025-11-16
138,4548,Fraud - Unauthorized,RESOLVED,2025-02-15,2025-02-18
139,23729,Item Not Received,RESOLVED,2026-08-10,
140,41611,Incorrect Amount,RESOLVED,2024-09-25,2024-10-07
141,5305,Item Not Received,RESOLVED,2024-11-05,2024-11-13
142,36215,Fraud - Unauthorized,RESOLVED,2026-05-11,2026-05-17
143,43648,Merchant Error,RESOLVED,2026-06-09,2026-06-14
144,1713,Fraud - Unauthorized,OPEN,2026-06-18,
145,22960,Fraud - Unauthorized,RESOLVED,2025-02-02,2025-02-04
146,21931,Item Not Received,RESOLVED,2025-07-14,2025-07-16
147,46294,Incorrect Amount,RESOLVED,2026-01-02,2026-01-07
148,32295,Duplicate Charge,RESOLVED,2025-11-21,2025-11-25
149,32878,Merchant Error,OPEN,2026-08-10,
150,20460,Merchant Error,RESOLVED,2026-04-13,2026-04-17
151,45077,Item Not As Described,RESOLVED,2024-12-07,2024-12-13
152,18271,Item Not Received,RESOLVED,2026-04-28,2026-05-13
