merchant_id,merchant_name,category_id,state_code,settlement_bank_id,onboarded_date,is_active
1,Basu and Sons,5,UP,4,2025-05-05T00:00:00,True
2,Kannan Ltd,6,GJ,3,2025-02-26T00:00:00,False
3,Zachariah PLC,5,TN,1,2026-07-04T00:00:00,True
4,Chand-Ganesh,11,TN,6,2025-03-13T00:00:00,True
5,Dutta Inc,4,HR,6,2026-06-17T00:00:00,True
6,Sankaran Group,9,BR,2,2024-12-09T00:00:00,True
7,"Sarin, Memon and Date",3,WB,4,2026-02-06T00:00:00,True
8,Srivastava-Ramachandran,6,PB,10,2025-10-23T00:00:00,True
9,Sane PLC,4,DL,10,2026-04-03T00:00:00,True
10,"Nigam, Grewal and Sinha",9,KL,3,2025-07-11T00:00:00,True
11,Wadhwa Group,11,RJ,3,2026-01-12T00:00:00,True
12,"Radhakrishnan, Balakrishnan and Kohli",8,WB,2,2025-12-04T00:00:00,True
13,Ahuja PLC,10,KA,3,2026-01-12T00:00:00,True
14,Sen-Kara,11,HR,8,2026-01-23T00:00:00,True
15,Sarma-Buch,6,HR,9,2026-07-22T00:00:00,True
16,"Amble, Ray and Gopal",8,OD,5,2026-03-28T00:00:00,True
17,"Yadav, Kari and Kapadia",10,DL,4,2025-03-22T00:00:00,True
18,Palan-Pillay,8,GJ,7,2025-03-21T00:00:00,True
19,Kibe-Oommen,7,UP,6,2025-04-27T00:00:00,True
20,Ghose-Hans,3,KA,5,2025-11-08T00:00:00,True
21,"Dayal, Sethi and Tata",4,DL,8,2026-01-16T00:00:00,True
22,"Bansal, Bhalla and Kumar",7,AS,8,2025-10-26T00:00:00,True
23,Kala-Nori,8,PB,5,2025-09-05T00:00:00,False
24,"Parikh, Singhal and Kamdar",8,GJ,5,2026-06-01T00:00:00,True
25,Dass Group,2,KL,9,2026-01-17T00:00:00,True
26,Date and Sons,2,RJ,4,2024-11-18T00:00:00,True
27,"Padmanabhan, Sem and Bajaj",6,DL,9,2025-03-03T00:00:00,True
28,Gade-Kumar,11,PB,5,2025-06-15T00:00:00,True
29,Dua LLC,11,RJ,4,2026-08-02T00:00:00,True
30,Nazareth-Mannan,3,RJ,1,2025-06-12T00:00:00,True
31,Verma-Kapoor,6,MP,7,2026-03-26T00:00:00,True
32,"Sengupta, Shanker and Barad",1,OD,9,2025-01-09T00:00:00,True
33,Chawla-Chawla,4,GJ,4,2025-12-08T00:00:00,True
34,Sood-Yogi,10,AS,8,2025-07-24T00:00:00,True
35,Parsa PLC,6,WB,7,2026-07-25T00:00:00,True
36,Mangal-Ratta,8,AS,9,2024-09-09T00:00:00,True
37,"Sharma, Kaul and Wable",10,TG,5,2024-08-19T00:00:00,True
38,Oza-Rai,11,HR,6,2025-03-28T00:00:00,True
39,"Anne, Mishra and Mallick",11,MP,9,2025-06-12T00:00:00,True
40,"Lalla, Sankar and Tata",1,DL,3,2025-01-14T00:00:00,True
41,"Kari, Johal and Grover",6,MP,7,2025-03-07T00:00:00,True
42,"Gokhale, Bobal and Gaba",2,MP,4,2025-12-09T00:00:00,True
43,Narayanan-Pandey,10,AS,5,2024-11-13T00:00:00,True
44,"Shroff, Sarma and Balakrishnan",11,UP,1,2026-07-16T00:00:00,True
45,Sampath and Sons,1,UP,4,2024-10-20T00:00:00,True
46,Lala LLC,7,KL,4,2025-04-05T00:00:00,True
47,"Mallick, Dutta and Sama",9,KA,8,2024-10-07T00:00:00,True
48,Balay-Sura,1,UP,6,2025-10-04T00:00:00,True
