transaction_id,user_id,card_id,merchant_id,state_code,amount,currency,transaction_type,status,transaction_ts
1,137,,25,GJ,35882.9,INR,UPI,SUCCESS,2026-03-20 07:35:00
2,910,,23,AS,552.52,INR,UPI,SUCCESS,2026-07-30 14:09:29
3,1360,1646,287,TG,4612.17,INR,CARD,SUCCESS,2025-11-16 05:35:55
4,399,488,246,MP,1112.04,INR,CARD,SUCCESS,2025-04-01 00:31:36
5,1715,,256,MH,51651.04,INR,UPI,SUCCESS,2026-01-16 12:43:49
6,1524,,73,KL,54106.77,INR,UPI,SUCCESS,2026-10-28 14:02:44
7,931,1146,65,GJ,7833.79,INR,CARD,FAILED,2025-06-15 09:13:41
8,671,,274,MH,2226.81,INR,UPI,SUCCESS,2026-05-19 20:40:58
9,1657,,194,HR,120.92,INR,UPI,SUCCESS,2025-02-11 18:17:58
10,437,,114,PB,3337.22,INR,UPI,SUCCESS,2025-03-24 02:48:28
11,1907,,114,TG,4264.37,INR,UPI,SUCCESS,2025-10-01 19:39:10
12,1868,,72,KA,3749.07,INR,UPI,SUCCESS,2024-10-26 01:23:07
13,1949,,81,MH,36214.21,INR,NEFT,SUCCESS,2025-06-22 08:04:47
14,1900,,91,GJ,18112.93,INR,UPI,SUCCESS,2026-07-09 22:21:58
15,1238,,108,MH,3006.58,INR,IMPS,SUCCESS,2024-11-16 00:34:26
16,1540,,17,GJ,3890.47,INR,UPI,SUCCESS,2025-12-02 10:45:26
17,1598,,184,BR,251.04,INR,UPI,SUCCESS,2025-12-07 09:54:40
18,491,585,125,OD,13092.96,INR,CARD,SUCCESS,2024-12-26 23:55:36
19,45,45,95,TN,2893.19,INR,CARD,SUCCESS,2024-12-31 01:50:46
20,772,,144,HR,2130.04,INR,UPI,SUCCESS,2025-11-18 19:15:27
21,1490,1774,231,GJ,1780.16,INR,CARD,SUCCESS,2026-04-18 15:46:31
22,1489,,112,MP,1899.58,INR,UPI,SUCCESS,2025-08-09 01:37:53
23,1602,,274,MP,4679.76,INR,UPI,SUCCESS,2026-03-03 01:12:08
24,502,601,228,KL,373.24,INR,CARD,FAILED,2025-05-10 23:37:13
25,1259,1527,54,BR,11063.96,INR,CARD,FAILED,2026-02-13 15:17:30
26,120,,177,BR,11019.31,INR,UPI,SUCCESS,2024-08-30 14:02:46
27,328,405,284,OD,1822.16,INR,CARD,SUCCESS,2025-06-21 22:55:07
28,1633,,31,TN,1331.45,INR,UPI,SUCCESS,2025-12-09 06:40:15
29,1900,2255,227,BR,266.6,INR,CARD,SUCCESS,2025-10-17 03:09:36
30,1401,,249,TG,1001.69,INR,UPI,SUCCESS,2024-11-25 05:36:55
31,1303,1575,265,BR,14437.19,INR,CARD,SUCCESS,2025-11-28 19:01:24
32,1733,,78,DL,15235.6,INR,UPI,SUCCESS,2026-03-12 18:58:45
33,1701,,173,TG,3898.61,INR,UPI,SUCCESS,2026-02-07 01:35:49
34,425,,74,MP,463.51,INR,UPI,SUCCESS,2025-11-19 02:17:48
35,1547,,275,WB,17897.42,INR,UPI,SUCCESS,2025-08-30 23:29:22
36,1168,,37,WB,3553.06,INR,UPI,SUCCESS,2024-10-26 07:44:32
37,1596,,141,MP,2735.74,INR,UPI,SUCCESS,2024-12-15 02:58:57
38,805,,150,GJ,9607.46,INR,UPI,SUCCESS,2025-10-23 10:56:05
39,1000,,94,HR,89417.95,INR,UPI,SUCCESS,2026-04-29 10:27:19
40,1002,,188,MP,2050.66,INR,UPI,SUCCESS,2025-06-25 00:36:44
41,904,,262,UP,510.91,INR,UPI,SUCCESS,2026-04-25 01:31:28
42,1451,,189,BR,1262.65,INR,UPI,SUCCESS,2025-11-11 14:11:16
43,1185,,67,MP,24273.23,INR,UPI,SUCCESS,2025-04-26 06:32:09
44,293,358,28,BR,52048.9,INR,CARD,SUCCESS,2024-12-27 06:49:30
